00  02
01  04
02  04
03  05
04  06
05  07
06  08
07  09
08  0a
09  0b
0a  0c
0b  0d
0c  0e
0d  0f
0e  10
0f  12
10  12
11  13
12  14
13  15
14  18
15  17
16  1a
17  19
18  1b
19  1b
1a  1c
1b  1d
1c  1e
1d  1f
1e  20
1f  21
20  22
21  23
22  24
23  25
24  27
25  27
26  28
27  29
28  2a
29  2b
2a  2c
2b  2f
2c  2e
2d  30
2e  30
2f  31
30  32
31  34
32  34
33  35
34  36
35  37
36  38
37  39
38  3a
39  3c
3a  3d
3b  3d
3c  3e
3d  41
3e  40
3f  42
40  42
41  43
42  44
43  46
44  48
45  47
46  49
47  49
48  4a
49  4b
4a  4c
4b  4d
4c  4e
4d  4f
4e  50
4f  51
50  53
51  53
52  54
53  56
54  56
55  57
56  59
57  59
58  5a
59  5b
5a  5c
5b  5d
5c  5e
5d  5f
5e  60
5f  61
60  62
61  69
62  64
63  69
64  69
65  69
66  69
67  6b
68  6a
69  6d
6a  6c
6b  71
6c  6e
6d  71
6e  71
6f  74
70  72
71  74
72  78
73  75
74  78
75  78
76  79
77  79
78  7a
79  7c
7a  7f
7b  7d
7c  7f
7d  80
7e  80
7f  81
80  82
81  83
82  85
83  85
84  86
85  87
86  88
87  89
88  8a
89  8b
8a  8c
8b  8e
8c  90
8d  8f
8e  91
8f  91
90  92
91  93
92  94
93  95
94  96
95  97
96  99
97  99
98  9a
99  9b
9a  9c
9b  9d
9c  9e
9d  9f
9e  a0
9f  a1
a0  a2
a1  a3
a2  a4
a3  a5
a4  a6
a5  a8
a6  a8
a7  a9
a8  aa
a9  ab
aa  ac
ab  ad
ac  ae
ad  af
ae  b1
af  b2
b0  b2
b1  b3
b2  b4
b3  b5
b4  b6
b5  b7
b6  b8
b7  b9
b8  ba
b9  bb
ba  bc
bb  bd
bc  bf
bd  bf
be  c0
bf  c1
c0  c2
c1  c3
c2  c4
c3  c5
c4  c6
c5  c7
c6  c8
c7  c9
c8  ca
c9  cb
ca  cc
cb  cd
cc  ce
cd  cf
ce  d0
cf  d1
d0  d2
d1  d4
d2  d4
d3  d5
d4  d6
d5  d7
d6  d8
d7  da
d8  da
d9  db
da  dc
db  dd
dc  de
dd  df
de  e0
df  e1
e0  e5
e1  e3
e2  e5
e3  e6
e4  e6
e5  e7
e6  e8
e7  e9
e8  eb
e9  ec
ea  ec
eb  ed
ec  ee
ed  ef
ee  f0
ef  f1
f0  f2
f1  f3
f2  f4
f3  f8
f4  f8
f5  f8
f6  fc
f7  f9
f8  fc
f9  fc
fa  fe
fb  fd
fc  00
fd  ff
fe  01
ff  01
